"subject_id","accuracy","n_trials"
"S052",0.25,12
"S089",0.25,8
"S100",0.25,4
"S030",0.285714285714286,7
"S025",0.3,10
"S092",0.3,10
"S008",0.333333333333333,6
"S016",0.333333333333333,6
"S027",0.333333333333333,12
"S059",0.333333333333333,9
"S096",0.333333333333333,6
"S067",0.375,8
"S077",0.375,8
"S063",0.384615384615385,13
"S031",0.4,10
"S104",0.4,10
"S046",0.416666666666667,12
"S066",0.416666666666667,12
"S098",0.416666666666667,12
"S020",0.428571428571429,7
"S036",0.428571428571429,7
"S051",0.428571428571429,7
"S069",0.428571428571429,7
"S103",0.428571428571429,7
"S074",0.444444444444444,9
"S088",0.444444444444444,9
"S107",0.454545454545455,11
"S006",0.461538461538462,13
"S028",0.5,8
"S047",0.5,12
"S050",0.5,6
"S082",0.5,8
"S086",0.533333333333333,15
"S076",0.538461538461538,13
"S013",0.545454545454545,11
"S033",0.545454545454545,11
"S109",0.545454545454545,11
"S040",0.555555555555556,9
"S045",0.555555555555556,9
"S065",0.555555555555556,9
"S099",0.555555555555556,9
"S101",0.555555555555556,9
"S003",0.571428571428571,7
"S011",0.571428571428571,7
"S024",0.571428571428571,7
"S039",0.571428571428571,7
"S068",0.571428571428571,7
"S071",0.571428571428571,7
"S090",0.571428571428571,14
"S023",0.6,10
"S037",0.6,10
"S038",0.6,10
"S053",0.6,5
"S057",0.6,5
"S062",0.6,15
"S070",0.6,5
"S095",0.6,10
"S102",0.6,10
"S106",0.6,10
"S035",0.625,8
"S055",0.625,8
"S058",0.625,8
"S022",0.636363636363636,11
"S026",0.636363636363636,11
"S091",0.642857142857143,14
"S021",0.666666666666667,6
"S041",0.666666666666667,12
"S073",0.666666666666667,12
"S081",0.666666666666667,6
"S049",0.692307692307692,13
"S004",0.7,10
"S009",0.7,10
"S056",0.7,10
"S061",0.7,10
"S093",0.7,10
"S094",0.7,10
"S079",0.705882352941177,17
"S084",0.714285714285714,7
"S085",0.714285714285714,7
"S083",0.727272727272727,11
"S001",0.75,8
"S018",0.75,8
"S097",0.75,8
"S005",0.777777777777778,9
"S060",0.777777777777778,9
"S010",0.8,10
"S015",0.8,5
"S042",0.8,5
"S043",0.8,10
"S075",0.8,5
"S014",0.833333333333333,6
"S029",0.833333333333333,6
"S034",0.833333333333333,12
"S017",0.857142857142857,14
"S032",0.857142857142857,7
"S064",0.857142857142857,7
"S105",0.857142857142857,7
"S087",0.875,8
"S012",0.888888888888889,9
"S019",0.888888888888889,9
"S108",0.909090909090909,11
"S002",1,3
"S007",1,9
"S044",1,6
"S048",1,7
"S054",1,8
"S072",1,12
"S078",1,3
"S080",1,9
